nid	v	max_rel	argmax_alpha	hero_abs	nrungs
v13CCCACACCACACACACACAABE	13	2.7073299179741162e-08	55.27909663310495	2.220446049250313e-16	10
v13CCCACACCACACACACCAAABE	13	3.2051959350393944e-08	43.466993469328585	3.3306690738754696e-16	10
v13CCCACACCACCACACAAACAAE	13	3.388464360227573e-08	55.27909663310495	3.3306690738754696e-16	10
v13CCCACACCACCACACAACAAAE	13	3.0554206187151026e-08	55.27909663310495	4.440892098500626e-16	10
v13CCCACACCACCACACAACAABE	13	3.878815556679142e-08	43.466993469328585	6.661338147750939e-16	10
v13CCCACACCACCACACAACADEE	13	2.6303820299697876e-08	55.27909663310495	6.661338147750939e-16	10
v13CCCACACCACCACACACAAAAE	13	4.3639925136869696e-08	55.27909663310495	4.440892098500626e-16	10
v13CCCACCACACAACCACACAAAE	13	4.017534969868311e-08	55.27909663310495	2.220446049250313e-16	10
v13CCCACCACACACACACAACAAE	13	2.6339409051262162e-08	55.27909663310495	3.3306690738754696e-16	10
v13CCCACCACACACACACACAAAE	13	2.6951573307912525e-08	55.27909663310495	8.881784197001252e-16	10
v13CCCACCACACACACACACAABE	13	2.218260907607192e-08	55.27909663310495	6.661338147750939e-16	10
v13CCCACCACACACACCAACADEE	13	2.0332583026290027e-08	55.27909663310495	3.3306690738754696e-16	10
v13CCCACCACACCACAACACAAAE	13	2.7399678607691404e-08	55.27909663310495	4.440892098500626e-16	10
v13CCCACCACACCACACAACAAAE	13	3.323481135089017e-08	55.27909663310495	4.440892098500626e-16	10
v13CCCACCACACCACACAACADEE	13	3.3397116048385555e-08	43.466993469328585	4.440892098500626e-16	10
v13CCCACCACACCACACACAAAAE	13	4.3115135373869344e-08	43.466993469328585	2.220446049250313e-16	10
v13CCCACCACACCACACACAAABE	13	3.123776280919044e-08	43.466993469328585	4.440892098500626e-16	10
v13CCCACCACACCACACACAABBE	13	3.456126888378454e-08	21.872676300000002	4.440892098500626e-16	10
v13CCCACCACACCACACCAABAAE	13	4.470037286153741e-08	55.27909663310495	2.220446049250313e-16	10
v13CCCACCACACCACACCAABABE	13	4.11147913058846e-08	55.27909663310495	3.3306690738754696e-16	10
v13CCCACCACCACACAACAACAAE	13	2.035701657663414e-08	55.27909663310495	2.220446049250313e-16	10
v13CCCACCACCACACACAACAAAE	13	3.13444371348748e-08	55.27909663310495	3.3306690738754696e-16	10
v13CCCACCACCACCACAACADEBE	13	2.7052596398664e-08	55.27909663310495	6.661338147750939e-16	10
v13CCCACCACCACCACACAADEBE	13	3.956596653114188e-08	43.466993469328585	3.3306690738754696e-16	10
v146he2cde65e82df9e58	146	0.4938072525661268	2.1000000000000014	6.328271240363392e-15	1
v149h5d70922ce66c392b	149	0.00026742361443929933	2.1000000000000014	7.993605777301127e-15	1
v14CCACACACACACACACACACACAE	14	1.6593361375099668e-07	2.1000000000000014	4.440892098500626e-16	10
v14CCACCACAACCACAACCACAACAE	14	1.4180599173566822e-08	55.27909663310495	2.220446049250313e-16	10
v14CCCACACACACACACACACACAAE	14	3.410638761832227e-08	43.466993469328585	4.440892098500626e-16	10
v14CCCACACACCAACACACCAACAAE	14	6.163059820725463e-08	43.466993469328585	5.551115123125783e-16	10
v14CCCACACACCACACAACACACAAE	14	1.717940309079066e-08	21.872676300000002	6.661338147750939e-16	10
v14CCCACACACCACACAACCAACAAE	14	2.5449033489431376e-08	43.466993469328585	4.440892098500626e-16	10
v14CCCACACACCACACACAACACAAE	14	3.750535786678386e-08	55.27909663310495	7.771561172376096e-16	10
v14CCCACACACCACACACACAACAAE	14	2.5331059249107803e-08	55.27909663310495	6.661338147750939e-16	10
v14CCCACACACCACACACACACAABE	14	2.1869487177904552e-08	55.27909663310495	3.3306690738754696e-16	10
v14CCCACACACCACACACACCAAABE	14	2.5664794702604928e-08	55.27909663310495	3.3306690738754696e-16	10
